word,pos,level,url,uk_audio,us_audio,definition,origin
a bit,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/bit_1#bit_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/b/bit/bit__/bit__gb_6.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/b/bit/bit__/bit__us_1.mp3,rather; to some extent,"senses 1 to 5 and senses 9 to 10 Old Englishbita‘bite, mouthful’, of Germanic origin; related to GermanBissen, also tobite.senses 7 to 8 Old Englishbite‘biting, a bite’, of Germanic origin; related to Dutchbeetand GermanBiss, also tobite.sense 6 1940s: blend ofbinaryanddigit."
a few,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/few_1#few_sng_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/f/few/few__/few__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/f/few/few__/few__us_1.mp3,"used with plural nouns and a plural verb to mean ‘a small number’, ‘some’","Old Englishfēawe,fēawa, of Germanic origin; related to Old High Germanfao, from an Indo-European root shared by Latinpaucusand Greekpauros‘small’."
a couple of sth,phrase,A2,https://www.oxfordlearnersdictionaries.com/definition/english/couple_1#couple_sng_3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/c/cou/coupl/couple__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/c/cou/coupl/couple__us_2.mp3,two people or things,"Middle English: from Old Frenchcople(noun),copler(verb), from Latincopula(noun),copulare(verb), fromco-‘together’ +apere‘fasten’. Compare withcopulaandcopulate."
a kind of...,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/kind_1#kind_sng_4,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/k/kin/kind_/kind__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/k/kin/kind_/kind__us_1.mp3,a group of people or things that are the same in some way; a particular variety or type,"nounOld Englishcynd(e),gecynd(e), of Germanic origin; related tokin. The original sense was ‘nature, the natural order’, also ‘innate character, form, or condition’ (compare with the adjectivekind); hence ‘a class ’or‘ race distinguished by innate characteristics’."
a period of time,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/period_1#period_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/p/per/perio/period__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/p/per/perio/period__us_2.mp3,a particular length of time,"late Middle English (denoting the time during which something, especially a disease, runs its course): from Old Frenchperiode, via Latin from Greekperiodos‘orbit, recurrence, course’, fromperi-‘around’ +hodos‘way, course’. The sense ‘portion of time’ dates from the early 17th cent."
a little,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/little_2#little_sng_9,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lit/littl/little__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/l/lit/littl/little__us_4.mp3,"used with uncountable nouns to mean ‘a small amount’, ‘some’","Old Englishlȳtel, of Germanic origin; related to Dutchluttel, German dialectlützel."
a great deal,phrase,B1,https://www.oxfordlearnersdictionaries.com/definition/english/deal_2#deal_sng_32,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/d/dea/deal_/deal__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/d/dea/deal_/deal__us_1.mp3,"an agreement, especially in business, on particular conditions for buying or doing something","nounsenses 1 to 3 Old Englishdǣlan‘divide’, ‘participate’, of Germanic origin; related to Dutchdeeland GermanTeil‘part’ (noun), also todole. The sense ‘divide’ gave rise to ‘distribute’, hence sense 1 of the verb and 'deal somebody/​something a blow'; the sense ‘participate’ gave rise to ‘have dealings with’, hence senses 2 of the verb and 'deal with'/'deal in'.nounsense 4 Middle English: from Middle Low German and Middle Dutchdele‘plank’."
a lot more,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/lot_3#lot_sng_3,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lot/lot__/lot__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/l/lot/lot__/lot__us_1.mp3,used with verbs to mean ‘a great amount’,"Old Englishhlot(noun), of Germanic origin; related to Dutchlot, GermanLos. The original meaning was ‘by lot’ and (by extension) the sense ‘a portion assigned to someone’; this gave rise to the other noun senses. The pronoun and adverb uses date from the early 19th cent."
a means of sth,phrase,B2,https://www.oxfordlearnersdictionaries.com/definition/english/means#means_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/m/mea/means/means__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/m/mea/means/means__us_1.mp3,"an action, an object or a system by which a result is achieved; a way of achieving or doing something","late Middle English: plural ofmean(noun), the early sense being ‘intermediary’."
a lot,phrase,A1,https://www.oxfordlearnersdictionaries.com/definition/english/lot_1#lot_sng_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/l/lot/lot__/lot__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/l/lot/lot__/lot__us_1.mp3,a large number or amount,"Old Englishhlot(noun), of Germanic origin; related to Dutchlot, GermanLos. The original meaning was ‘by lot’ and (by extension) the sense ‘a portion assigned to someone’; this gave rise to the other noun senses. The pronoun and adverb uses date from the early 19th cent."
