word,pos,level,url,uk_audio,us_audio,definition,origin
abortion,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abortion,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/abort/abortion__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/abort/abortion__us_1.mp3,the deliberate ending of apregnancyat an early stage,"mid 16th cent.: from Latinabortio(n-), fromaboriri‘miscarry’, fromab-‘away, from’ +oriri‘be born’."
abandon,verb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/abandon_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aba/aband/abandon__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aba/aband/abandon__us_2.mp3,"to leave somebody, especially somebody you are responsible for, with no intention of returning","late Middle English: from Old Frenchabandoner, froma-(from Latinad‘to, at’) +bandon‘control’ (related toban). The original sense was ‘bring under control’, later ‘give in to the control of, surrender to’ (sense (5))."
accomplishment,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/accomplishment,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accomplishment__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accomplishment__us_1.mp3,an impressive thing that is done or achieved after a lot of work,N/A
abundance,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abundance,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abund/abundance__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abund/abundance__us_1.mp3,a large quantity that is more than enough,"Middle English: from Latinabundantia, fromabundant-‘overflowing’, from the verbabundare‘overflow’, fromab-‘from’ +undare‘surge’ (fromunda‘a wave’)."
accomplish,verb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/accomplish,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accomplish__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accomplish__us_1.mp3,to succeed in doing or completing something,"late Middle English: from Old Frenchacompliss-, lengthened stem ofacomplir, based on Latinad-‘to’ +complere‘to complete’."
academic,noun,B2,https://www.oxfordlearnersdictionaries.com/definition/english/academic_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academic__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aca/acade/academic__us_2.mp3,a person who teaches and/or does research at a university or college,"mid 16th cent.: from Frenchacadémiqueor medieval Latinacademicus, fromacademia, from Greekakadēmeia, fromAkadēmos, the hero after whom Plato's garden was named."
accountable,adjective,C1,https://www.oxfordlearnersdictionaries.com/definition/english/accountable,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountable__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/accountable__us_1.mp3,responsible for your decisions or actions and expected to explain them when you are asked,N/A
acceptable,adjective,B2,https://www.oxfordlearnersdictionaries.com/definition/english/acceptable,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accep/acceptable__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accep/acceptable__us_3.mp3,agreed or approved of by most people in a society,"late Middle English: from Old French, from late Latinacceptabilis, fromacceptare, frequentative ofaccipere‘take something to oneself’, fromad-‘to’ +capere‘take’."
abolish,verb,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abolish,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/aboli/abolish__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/aboli/abolish__us_1.mp3,"to officially end a law, a system or an institution","late Middle English: from Old Frenchaboliss-, lengthened stem ofabolir, from Latinabolere‘destroy’."
accountability,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/accountability,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accou/accountability__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accou/accountability__us_1.mp3,the fact of being responsible for your decisions or actions and expected to explain them when you are asked,N/A
acceptance,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/acceptance,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accep/acceptance__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accep/acceptance__us_1.mp3,"the act of accepting a gift, an invitation, an offer, etc.","mid 16th cent.: from Old French, fromaccepter, from Latinacceptare, frequentative ofaccipere‘take something to oneself’, fromad-‘to’ +capere‘take’."
absurd,adjective,C1,https://www.oxfordlearnersdictionaries.com/definition/english/absurd,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absur/absurd__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absur/absurd__us_1_rr.mp3,extremely silly; not logical and sensible,"mid 16th cent.: from Latinabsurdus‘out of tune’, hence ‘irrational’; related tosurdus‘deaf, dull’."
according to,preposition,A2,https://www.oxfordlearnersdictionaries.com/definition/english/according-to,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/according_to_1_gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accor/according_to_1_us_3.mp3,as stated or reported by somebody/something,N/A
absolute,adjective,B2,https://www.oxfordlearnersdictionaries.com/definition/english/absolute_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absol/absolute__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absol/absolute__us_1_rr.mp3,total and complete,"late Middle English: from Latinabsolutus‘freed, unrestricted’, past participle ofabsolvere‘set free, acquit’, fromab-‘from’ +solvere‘loosen’."
academic,adjective,B1,https://www.oxfordlearnersdictionaries.com/definition/english/academic_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academic__gb_2.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aca/acade/academic__us_2.mp3,"connected with education, especially studying in schools and universities","mid 16th cent.: from Frenchacadémiqueor medieval Latinacademicus, fromacademia, from Greekakadēmeia, fromAkadēmos, the hero after whom Plato's garden was named."
accessible,adjective,C1,https://www.oxfordlearnersdictionaries.com/definition/english/accessible,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/accessible__gb_4.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/acces/accessible__us_1.mp3,"that can be reached, entered, used, seen, etc.","late Middle English: from late Latinaccessibilis, from Latinaccess-‘approached’, from the verbaccedere, fromad-‘to’ +cedere‘give way, yield’."
accumulation,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/accumulation,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accum/accumulation__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accum/accumulation__us_1.mp3,the process of gradually increasing or getting more and more of something over a period of time,N/A
accordance,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/accordance,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accor/accordance__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accor/accordance__us_1.mp3,according to a rule or the way that somebody says that something should be done,"Middle English: from Old Frenchacordance, fromacorder‘bring to an agreement’, from Latinad-‘to’ +cor,cord-‘heart’; influenced byconcord."
academy,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/academy,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/aca/acade/academy__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/aca/acade/academy__us_1.mp3,a school or college for special training,"late Middle English (denoting the garden where Plato taught): from Frenchacadémieor Latinacademia, from Greekakadēmeia, fromAkadēmos, the hero after whom Plato's garden was named."
accompany,verb,B2,https://www.oxfordlearnersdictionaries.com/definition/english/accompany,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accom/accompany__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accom/accompany__us_2.mp3,to travel or go somewhere with somebody/something,"late Middle English: from Old Frenchaccompagner, froma-(from Latinad‘to, at’) +compagne, from Old Frenchcompaignon‘companion’. The spelling change was due to association withcompany."
accusation,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/accusation,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accus/accusation__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accus/accusation__us_1.mp3,a statement saying that you think a person is guilty of doing something wrong or illegal; the fact of accusing somebody,"late Middle English: from Old French, from Latinaccusatio(n-), fromaccusare‘call to account’, fromad-‘towards’ +causa‘reason, motive, lawsuit’."
above,adverb,A1,https://www.oxfordlearnersdictionaries.com/definition/english/above_2,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abo/above/above__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abo/above/above__us_2.mp3,at or to a higher place,"Old Englishabufan(as an adverb), froma-‘on’ +bufan(frombi‘by’ +ufan‘above’)."
absolutely,adverb,B1,https://www.oxfordlearnersdictionaries.com/definition/english/absolutely,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absol/absolutely__gb_6.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absol/absolutely__us_1_rr.mp3,used to emphasize that something is completely true,N/A
abuse,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/abuse_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abu/abuse/abuse__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abu/abuse/abuse__us_3.mp3,the use of something in a way that is wrong or harmful,"late Middle English: via Old French from Latinabus-‘misused’, from the verbabuti, fromab-‘away’ (i.e. ‘wrongly’) +uti‘to use’."
accept,verb,A2,https://www.oxfordlearnersdictionaries.com/definition/english/accept,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accep/accept__gb_3.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accep/accept__us_1.mp3,"to take willingly something that is offered; to say ‘yes’ to an offer, invitation, etc.","late Middle English: from Latinacceptare, frequentative ofaccipere‘take something to oneself’, fromad-‘to’ +capere‘take’."
absence,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/absence,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absen/absence__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absen/absence__us_1.mp3,the fact of somebody being away from a place where they are usually expected to be; the occasion or period of time when somebody is away,"late Middle English: from Old French, from Latinabsentia, fromabsens,absent-‘being absent’, present participle ofabesse, fromab-‘from, away’ +esse‘to be’."
accelerate,verb,C1,https://www.oxfordlearnersdictionaries.com/definition/english/accelerate,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/accel/accelerate__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/accel/accelerate__us_1.mp3,to happen faster or earlier; to make something happen faster or earlier,"early 16th cent. (in the sense to make something happen faster): from Latinaccelerat-‘hastened’, from the verbaccelerare, fromad-‘towards’ +celer‘swift’."
access,noun,B1,https://www.oxfordlearnersdictionaries.com/definition/english/access_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/acc/acces/access__gb_4.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/acc/acces/access__us_2.mp3,the opportunity or right to use something or to see somebody/something,"early 17th cent.: from Latinaccessus, from the verbaccedere‘to approach’, fromad-‘to’ +cedere‘give way, yield’"
absent,adjective,C1,https://www.oxfordlearnersdictionaries.com/definition/english/absent_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abs/absen/absent__gb_4.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abs/absen/absent__us_1.mp3,"not in a place because of illness, etc.","Middle English: via Old French from Latinabsens,absent-‘being absent’, present participle ofabesse, fromab-‘from, away’ +esse‘to be’."
ability,noun,A2,https://www.oxfordlearnersdictionaries.com/definition/english/ability_1,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/abi/abili/ability__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/abi/abili/ability__us_4.mp3,the fact that somebody/something is able to do something,"late Middle English: from Old Frenchablete, from Latinhabilitas, fromhabilis‘able’."
activation,noun,C1,https://www.oxfordlearnersdictionaries.com/definition/english/activation,https://www.oxfordlearnersdictionaries.com/media/english/uk_pron/a/act/activ/activation__gb_1.mp3,https://www.oxfordlearnersdictionaries.com/media/english/us_pron/a/act/activ/activation__us_1.mp3,the act of making something such as a device or chemical process start working,N/A
